1 NONTERMINAL NP+ADVP
254 NONTERMINAL VP+VERB
65 NONTERMINAL SBAR
81 NONTERMINAL ADJP
30 NONTERMINAL WHADVP
1808 NONTERMINAL DET
1 NONTERMINAL S+VP+VERB
2 NONTERMINAL NP+VERB
817 NONTERMINAL WHNP+PRON
2 NONTERMINAL NP+S
11 NONTERMINAL SBAR+S
3 NONTERMINAL NP+X
3 NONTERMINAL NP+NP
17 NONTERMINAL X
251 NONTERMINAL SQ+VP
68 NONTERMINAL CONJ
114 NONTERMINAL NP+PRON
301 NONTERMINAL WHADVP+ADV
1 NONTERMINAL PP+NOUN
1024 NONTERMINAL PP
3852 NONTERMINAL NOUN
4 NONTERMINAL NP+ADJ
27 NONTERMINAL PRT+PRT
24 NONTERMINAL WHPP
1 NONTERMINAL WHNP+WHNP
14 NONTERMINAL ADVP
2032 NONTERMINAL .
1 NONTERMINAL NX
280 NONTERMINAL PRT
103 NONTERMINAL NUM
50 NONTERMINAL NP+NUM
4813 NONTERMINAL NP
1 NONTERMINAL NP+SBAR+S
25 NONTERMINAL NP+DET
244 NONTERMINAL ADV
16 NONTERMINAL VP+NOUN
19 NONTERMINAL ADJP+ADJ
1010 NONTERMINAL ADP
1 NONTERMINAL NP+PP
1 NONTERMINAL PP+PP+ADP
803 NONTERMINAL VP
6 NONTERMINAL PP+PRT
3405 NONTERMINAL SBARQ
2349 NONTERMINAL VERB
1 NONTERMINAL NP+S+VP
1 NONTERMINAL SBAR+VP
656 NONTERMINAL NP+NOUN
2 NONTERMINAL NP+QP
916 NONTERMINAL ADJ
23 NONTERMINAL WHNP+DET
10 NONTERMINAL SBAR+S+VP
7 NONTERMINAL QP
2081 NONTERMINAL SQ
38 NONTERMINAL ADVP+ADV
85 NONTERMINAL S
124 NONTERMINAL WHADJP
569 NONTERMINAL WHNP
73 NONTERMINAL PRON
90 NONTERMINAL S+VP
1 NONTERMINAL VP+S+VP
2 NONTERMINAL ADVP+ADJ
113 NONTERMINAL PP+ADP
38 UNARYRULE ADP from
8 UNARYRULE NOUN book
40 UNARYRULE PP+ADP in
14 UNARYRULE PRON its
1 UNARYRULE PRT+PRT on
1 UNARYRULE PRT+PRT place
4 UNARYRULE ADJ French
7 UNARYRULE VP+VERB built
6 UNARYRULE NUM four
17 UNARYRULE X _RARE_
5 UNARYRULE NOUN address
64 UNARYRULE . ,
9 UNARYRULE NP+NOUN water
24 UNARYRULE PP+ADP for
6 UNARYRULE NOUN bird
5 UNARYRULE NOUN show
8 UNARYRULE NOUN car
1 UNARYRULE VP+VERB get
1 UNARYRULE NOUN start
13 UNARYRULE NOUN New
8 UNARYRULE VP+VERB invented
5 UNARYRULE NOUN life
1 UNARYRULE NOUN Spain
8 UNARYRULE NP+PRON _RARE_
6 UNARYRULE NOUN money
3 UNARYRULE PP+ADP by
1 UNARYRULE ADV Why
10 UNARYRULE VERB say
8 UNARYRULE NOUN movie
108 UNARYRULE VERB does
6 UNARYRULE NOUN system
4 UNARYRULE NP+NOUN Spain
7 UNARYRULE ADJ oldest
13 UNARYRULE PP+ADP from
6 UNARYRULE VERB live
5 UNARYRULE NOUN Vietnam
7 UNARYRULE NOUN river
1 UNARYRULE PP+PP+ADP in
1 UNARYRULE NOUN use
4 UNARYRULE NP+NOUN power
10 UNARYRULE VERB take
390 UNARYRULE DET What
13 UNARYRULE NOUN people
2 UNARYRULE NP+NOUN French
6 UNARYRULE VERB founded
5 UNARYRULE ADVP+ADV first
4 UNARYRULE VERB start
5 UNARYRULE VERB given
7 UNARYRULE NOUN York
3 UNARYRULE NOUN Great
2 UNARYRULE VP+VERB play
47 UNARYRULE NP+NUM _RARE_
3 UNARYRULE NOUN Canada
4 UNARYRULE NP+NOUN Liberty
14 UNARYRULE VERB called
4 UNARYRULE VERB write
1084 UNARYRULE DET the
17 UNARYRULE DET _RARE_
18 UNARYRULE VERB made
39 UNARYRULE ADP _RARE_
6 UNARYRULE NOUN George
8 UNARYRULE ADJ famous
106 UNARYRULE VP+VERB _RARE_
5 UNARYRULE NOUN difference
5 UNARYRULE ADP about
8 UNARYRULE ADP between
8 UNARYRULE PRON their
6 UNARYRULE ADP into
13 UNARYRULE NOUN fear
1 UNARYRULE NP+NOUN countries
20 UNARYRULE VERB were
11 UNARYRULE VERB make
526 UNARYRULE ADJ _RARE_
21 UNARYRULE VP+VERB die
8 UNARYRULE NOUN moon
198 UNARYRULE DET a
4 UNARYRULE NOUN rain
5 UNARYRULE NUM one
15 UNARYRULE NOUN president
477 UNARYRULE VERB _RARE_
5 UNARYRULE VERB causes
5 UNARYRULE NOUN Johnson
5 UNARYRULE ADJ female
16 UNARYRULE VERB known
5 UNARYRULE NOUN South
1 UNARYRULE NOUN work
2 UNARYRULE ADJ musical
3 UNARYRULE ADJ National
1 UNARYRULE NP+NOUN Vietnam
1 UNARYRULE NP+NUM two
3 UNARYRULE NOUN office
3 UNARYRULE PRON I
6 UNARYRULE ADJ Spanish
3 UNARYRULE VERB run
13 UNARYRULE NOUN President
5 UNARYRULE VERB wrote
10 UNARYRULE NOUN Day
5 UNARYRULE ADP out
3 UNARYRULE NP+X _RARE_
2 UNARYRULE ADVP+ADJ _RARE_
10 UNARYRULE VERB call
8 UNARYRULE VERB being
69 UNARYRULE ADJ many
3 UNARYRULE NP+NOUN Australia
6 UNARYRULE NOUN Kennedy
1 UNARYRULE NP+ADJ black
3 UNARYRULE VP+VERB buried
10 UNARYRULE NOUN kind
8 UNARYRULE NOUN St.
380 UNARYRULE ADP of
5 UNARYRULE PRON my
1 UNARYRULE ADJ home
1 UNARYRULE ADJ West
526 UNARYRULE NP+NOUN _RARE_
2 UNARYRULE CONJ _RARE_
5 UNARYRULE ADJ European
1 UNARYRULE NOUN run
5 UNARYRULE VERB been
6 UNARYRULE NOUN Washington
11 UNARYRULE NOUN body
3 UNARYRULE NP+ADJ _RARE_
9 UNARYRULE NOUN film
2 UNARYRULE ADV Where
5 UNARYRULE ADJ longest
5 UNARYRULE VERB win
1 UNARYRULE ADVP+ADV best
90 UNARYRULE WHADVP+ADV Where
5 UNARYRULE NOUN rate
10 UNARYRULE NOUN baseball
2 UNARYRULE NOUN National
118 UNARYRULE . ``
7 UNARYRULE ADJ only
2 UNARYRULE NP+NOUN year
6 UNARYRULE CONJ or
37 UNARYRULE ADV _RARE_
16 UNARYRULE NUM two
1 UNARYRULE VP+VERB painted
20 UNARYRULE VERB stand
1 UNARYRULE NP+DET _RARE_
14 UNARYRULE ADJ most
1 UNARYRULE NOUN I
5 UNARYRULE NOUN American
5 UNARYRULE VERB should
12 UNARYRULE VERB be
1 UNARYRULE VP+VERB killed
1 BINARYRULE VP VERB SBAR+VP
4 BINARYRULE VP VERB NP+PRON
1 BINARYRULE SBAR+S+VP PRT VP+VERB
63 BINARYRULE SQ VERB VP
1 BINARYRULE SQ ADVP+ADV VP+VERB
1 BINARYRULE VP PP WHPP
1 BINARYRULE NP VERB NP+NOUN
1 BINARYRULE SBARQ SBARQ .
7 BINARYRULE ADJP DET ADJ
1436 BINARYRULE SBARQ SQ .
21 BINARYRULE NP CONJ NOUN
165 BINARYRULE NP NOUN PRT
12 BINARYRULE S+VP VERB NP
41 BINARYRULE NP NOUN PP
30 BINARYRULE PP PRT NP
77 BINARYRULE VP VERB PP+ADP
71 BINARYRULE SQ VERB NP+NOUN
506 BINARYRULE NP NP PP
2 BINARYRULE SQ PP PP
141 BINARYRULE VP VERB PP
4 BINARYRULE S . .
2 BINARYRULE PP PRT NP+NUM
1 BINARYRULE SQ NP+ADJ SQ
1 BINARYRULE VP NP ADJP+ADJ
2 BINARYRULE ADJP CONJ ADJ
1 BINARYRULE VP NP+NOUN PRT+PRT
26 BINARYRULE SBARQ WHADVP SBARQ
1 BINARYRULE PP ADP NP+QP
601 BINARYRULE PP ADP NP
3 BINARYRULE SQ+VP VERB SBAR+S
2 BINARYRULE VP VERB WHNP
42 BINARYRULE SBARQ WHADJP SBARQ
3 BINARYRULE WHNP PRON NP
20 BINARYRULE WHADVP ADV ADV
1 BINARYRULE VP NP VP+VERB
6 BINARYRULE VP PRT+PRT VP
1 BINARYRULE PP NP+NUM PP
1 BINARYRULE ADJP NUM NOUN
1 BINARYRULE SQ NP+NOUN VP+NOUN
1 BINARYRULE PP PRT NP+DET
14 BINARYRULE VP VERB VP+VERB
1 BINARYRULE SQ NP+S VP
1 BINARYRULE NP NOUN PP+ADP
1 BINARYRULE VP VERB NP+SBAR+S
7 BINARYRULE S NP+PRON VP+VERB
1 BINARYRULE SQ NP+NP VP+VERB
1 BINARYRULE NP NOUN ADVP+ADV
477 BINARYRULE NP ADJ NOUN
1 BINARYRULE SQ ADJP+ADJ PP
4 BINARYRULE VP PRT VP+VERB
1 BINARYRULE VP NP+NUM PP
1 BINARYRULE SBAR+S NP VP+VERB
1 BINARYRULE VP VERB .
21 BINARYRULE WHPP ADP WHNP
1 BINARYRULE SQ VP SBAR
8 BINARYRULE SQ VERB NP+DET
1 BINARYRULE VP NOUN PP+ADP
5 BINARYRULE NP NP PP+ADP
1 BINARYRULE NP+NP . NP
1 BINARYRULE NP CONJ NP+NUM
2 BINARYRULE VP PP NP
13 BINARYRULE SQ NP VP+NOUN
11 BINARYRULE S+VP VERB PP
2 BINARYRULE VP ADVP+ADV PP
1 BINARYRULE VP VERB WHADJP
1 BINARYRULE VP NP SBAR
2 BINARYRULE SQ+VP ADVP+ADV VP
4 BINARYRULE SQ VP PP
1 BINARYRULE VP PRT+PRT WHPP
2 BINARYRULE VP PP+ADP PP
7 BINARYRULE SBARQ WHNP SQ
3 BINARYRULE VP PRT+PRT PP
1 BINARYRULE SBAR WHPP S
4 BINARYRULE WHNP ADV ADV
3 BINARYRULE S+VP . VP
3 BINARYRULE NP VERB NP
118 BINARYRULE WHADJP ADV ADJ
22 BINARYRULE SQ+VP VERB PP
75 BINARYRULE SQ NP+PRON VP
1 BINARYRULE SBAR WHNP+DET S+VP+VERB
2 BINARYRULE S+VP VERB S
31 BINARYRULE NP NP+NOUN PP
653 BINARYRULE SQ VERB NP
25 BINARYRULE NP CONJ NP
2 BINARYRULE QP ADV NUM
1 BINARYRULE ADJP ADJ PRT+PRT
3 BINARYRULE NP . PRON
1 BINARYRULE ADVP ADV NP
35 BINARYRULE S+VP PRT VP
2 BINARYRULE ADJP ADJ NOUN
1 BINARYRULE S+VP VERB ADVP+ADV
5 BINARYRULE SQ NP SQ
3 BINARYRULE VP NP+NOUN S+VP
14 BINARYRULE NP PRON NP
1 BINARYRULE NX NOUN NOUN
10 BINARYRULE NP NP SBAR+S+VP
1 BINARYRULE SBARQ WHNP+WHNP SBARQ
1 BINARYRULE VP PRT+PRT SBARQ
1 BINARYRULE SQ NP+NOUN ADJP
1 BINARYRULE ADJP ADJ VP
1 BINARYRULE VP NP+PRON ADJP+ADJ
4 BINARYRULE PP ADP NOUN
2 BINARYRULE VP ADV VERB
1 BINARYRULE SQ+VP VERB S
4 BINARYRULE WHNP ADJ NOUN
2 BINARYRULE SQ NP+NOUN NP
2 BINARYRULE PP ADP SBAR
1 BINARYRULE VP NOUN NP+NOUN
1 BINARYRULE VP NOUN PP
3 BINARYRULE SBARQ SBAR SBARQ
2 BINARYRULE SQ NP ADJP
14 BINARYRULE PP ADP S+VP
1 BINARYRULE ADVP ADV .
1 BINARYRULE SQ ADJP SBAR
1 BINARYRULE VP NP+NP PP
1 BINARYRULE NP NP+NUM NP
770 BINARYRULE NP NOUN NOUN
1 BINARYRULE SBAR+S NP+PRON VP+VERB
8 BINARYRULE VP VERB PRT+PRT
1 BINARYRULE S+VP VP VP
3 BINARYRULE VP PRT+PRT NP
1 BINARYRULE NP X NOUN
18 BINARYRULE VP NP VP
1 BINARYRULE SBAR WHNP S
2 BINARYRULE VP S PP
21 BINARYRULE NP NP VP
1 BINARYRULE VP NP+NOUN VP
3 BINARYRULE VP CONJ VP
2 BINARYRULE NP . ADJP+ADJ
20 BINARYRULE VP PP PP
1 BINARYRULE S+VP VERB ADJP
4 BINARYRULE ADVP ADV ADV
2 BINARYRULE NP . NUM
1 BINARYRULE NP ADJP .
1 BINARYRULE NP . PP
3 BINARYRULE SQ NP+PRON PP
4 BINARYRULE NP NP NP+NOUN
3 BINARYRULE VP VERB PP+PRT
25 BINARYRULE S VP .
1 BINARYRULE VP NP+NOUN SBAR
3 BINARYRULE VP NP PP+ADP
3 BINARYRULE VP VERB ADVP+ADV
11 BINARYRULE S+VP VERB VP
1 BINARYRULE VP NP+NOUN VP+VERB
1 BINARYRULE SQ . PP
10 BINARYRULE ADJP ADJ PP
1 BINARYRULE WHNP NOUN ADJ
1 BINARYRULE S PP S
11 BINARYRULE NP NP S+VP
1 BINARYRULE PP ADV ADP
1 BINARYRULE ADJP ADJ .
1 BINARYRULE ADJP NOUN ADJP
1 BINARYRULE SQ+VP VP PP
1 BINARYRULE VP VP PP
7 BINARYRULE SBARQ . SBARQ
11 BINARYRULE PP PP PP
10 BINARYRULE SBAR WHADVP+ADV S
766 BINARYRULE NP DET NP
85 BINARYRULE NP NP NOUN
1 BINARYRULE ADJP NOUN ADJ
2 BINARYRULE SBARQ SQ SBARQ
79 BINARYRULE SQ+VP VERB VP
2 BINARYRULE SBARQ SBARQ SBARQ
1 BINARYRULE SQ VERB S+VP
3 BINARYRULE VP ADV VP
2 BINARYRULE SQ NP VERB
26 BINARYRULE NP ADJP NOUN
1 BINARYRULE ADJP NUM ADJ
3 BINARYRULE NP NP+DET PP
17 BINARYRULE SBAR WHNP+DET S+VP
808 BINARYRULE SBARQ WHNP+PRON SBARQ
1 BINARYRULE S NP+NUM VP
1 BINARYRULE WHPP PRT WHNP+DET
505 BINARYRULE SBARQ WHNP SBARQ
1 BINARYRULE SBARQ WHNP+DET SBARQ
2 BINARYRULE NP ADJ ADJ
1 BINARYRULE NP NOUN ADV
3 BINARYRULE WHNP NOUN NOUN
1 BINARYRULE NP DET X
3 BINARYRULE SQ NP+NOUN PP
4 BINARYRULE VP ADVP+ADV VP+VERB
1 BINARYRULE VP . NP+S
1 BINARYRULE WHNP NP NOUN
9 BINARYRULE SQ NP PP
1 BINARYRULE NP NP PP+PRT
3 BINARYRULE VP NP S+VP
1 BINARYRULE ADJP ADVP VERB
263 BINARYRULE WHNP DET NOUN
1 BINARYRULE SQ NP+NOUN ADJP+ADJ
13 BINARYRULE SQ NP+DET PP
2 BINARYRULE VP ADJP PP
2 BINARYRULE SBAR+S NP+PRON VP
1 BINARYRULE NP+SBAR+S ADVP+ADV S
1 BINARYRULE SQ+VP VP VP
4 BINARYRULE SQ NP+PRON SQ
619 BINARYRULE SQ VERB SQ
1 BINARYRULE SQ VERB VP+VERB
18 BINARYRULE SQ VERB PP
286 BINARYRULE PP ADP NP+NOUN
1 BINARYRULE ADJP . ADJ
2 BINARYRULE VP VERB ADJP
2 BINARYRULE SBARQ CONJ SBARQ
1 BINARYRULE SBAR SQ+VP .
1 BINARYRULE PP . PP
1 BINARYRULE NP NP WHPP
1 BINARYRULE NP NUM NUM
1 BINARYRULE VP . S
1 BINARYRULE VP ADV NP
579 BINARYRULE NP DET NOUN
1 BINARYRULE NP NP+NOUN .
5 BINARYRULE SBAR+S NP VP
7 BINARYRULE S+VP PRT VP+VERB
62 BINARYRULE SQ NP+NOUN VP
1 BINARYRULE SQ NP NP+NOUN
8 BINARYRULE SQ VERB ADJP
1 BINARYRULE VP NP ADVP
1 BINARYRULE ADJP ADJP ADJP
1 BINARYRULE SQ VERB ADJP+ADJ
8 BINARYRULE SQ NP NP
1 BINARYRULE NP ADJ NP+NOUN
9 BINARYRULE SBAR+S+VP PRT VP
1 BINARYRULE WHPP PRT WHNP+PRON
